Cluster under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin
Wedding,Bluff,98,0,74,Overseas exposure
Marist College,Auckland,94,1,84,Unknown
Hospitality Venue,Matamata,76,0,55,Overseas exposure
Aged residential care facility (1),Christchurch,54,0,14,Unknown
Private Function,Auckland,39,0,37,Unkown
World Hereford Conference,Queenstown,38,0,37,Overseas exposure
Aged residential care facility (1),Auckland,34,0,11,Unknown
Community,Auckland,30,0,21,Unknown
Ruby Princess Cruise Ship,Hawke’s Bay,23,1,14,Overseas exposure
Aged residential care facility (2),Christchurch,20,0,17,Unknown
Group travel to US,Wellington,16,0,15,Overseas exposure
Group travel to US,Auckland,16,0,14,Overseas exposure
Aged residential care facility,Waikato,15,0,11,Overseas exposure
Aged residential care facility (2),Auckland,13,0,6,Overseas exposure
Wedding,Wellington,13,0,11,Overseas exposure
Workplace,Christchurch,10,0,10,Overseas exposure
